batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,sample_fraction,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,metric_ripser_sum,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,time_ripser_sum
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=00.ckpt,0,0.564,3,0.7625,50.2644,8.4181,0.0035,3.4937,1.2433,9.2866,0.6592,1504.4379,53.5401,1557.9781,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.0041,0.3267,0.3267,0.3267
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=01.ckpt,1,0.632,3,0.7625,51.2084,8.1402,0.0021,3.5335,1.2031,10.6614,0.6968,1916.17,76.8656,1993.0356,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.0044,0.3457,0.3457,0.3457
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=02.ckpt,2,0.672,3,0.7625,53.3072,8.2681,0.0009,3.6836,1.1993,11.6125,0.699,2169.0774,90.8791,2259.9563,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.0045,0.3559,0.3559,0.3559
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=03.ckpt,3,0.652,3,0.7625,54.374,8.491,0.0005,3.7756,1.1984,11.7655,0.6989,2329.1838,95.1185,2424.3022,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.0043,0.3632,0.3632,0.3632
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=04.ckpt,4,0.68,3,0.7625,57.3422,8.3424,0.0006,3.7981,1.2053,12.1306,0.6909,2497.5957,104.3783,2601.974,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.004,0.3724,0.3724,0.3724
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=05.ckpt,5,0.66,3,0.7625,57.1577,8.3465,0.0005,3.898,1.1919,11.2697,0.7053,2542.577,105.0296,2647.6067,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.004,0.3717,0.3717,0.3717
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=06.ckpt,6,0.664,3,0.7625,58.0924,8.3526,0.0005,3.8869,1.1896,11.2352,0.7076,2603.188,100.3468,2703.5344,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.004,0.3542,0.3542,0.3542
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=07.ckpt,7,0.656,3,0.7625,59.3362,8.3612,0.0005,3.8954,1.1945,11.7265,0.7017,2706.3518,110.8521,2817.204,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.0043,0.3667,0.3667,0.3667
64,0.001,3,10,50,16,8,128,gender/checkpoints/model_64_0.001_3_10_50_128epoch=00.ckpt,0,0.604,21,0.7625,49.255,8.2825,0.0029,3.6565,1.2243,8.745,0.6785,1462.793,53.3498,1516.1428,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.004,0.3471,0.3471,0.3471
64,0.001,3,10,50,16,8,128,gender/checkpoints/model_64_0.001_3_10_50_128epoch=01.ckpt,1,0.584,21,0.7625,53.2735,8.2255,0.0022,3.4617,1.234,9.933,0.6657,1742.5577,62.4948,1805.0529,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.0042,0.3339,0.3339,0.3339
64,0.001,3,10,50,16,8,128,gender/checkpoints/model_64_0.001_3_10_50_128epoch=02.ckpt,2,0.6,21,0.7625,53.9236,7.8895,0.0015,3.4513,1.2122,11.17,0.6871,1956.0032,69.7138,2025.7168,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.0043,0.3316,0.3316,0.3316
64,0.001,3,10,50,16,8,128,gender/checkpoints/model_64_0.001_3_10_50_128epoch=03.ckpt,3,0.608,21,0.7625,56.1981,7.5786,0.0013,3.4401,1.2143,11.1479,0.6835,2135.4915,81.7855,2217.2769,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.0044,0.3583,0.3583,0.3583
64,0.001,3,10,50,16,8,128,gender/checkpoints/model_64_0.001_3_10_50_128epoch=04.ckpt,4,0.62,21,0.7625,57.4601,7.6575,0.0012,3.4615,1.2072,12.3515,0.6903,2293.8535,90.0716,2383.925,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.0043,0.3573,0.3573,0.3573
64,0.001,3,10,50,16,8,128,gender/checkpoints/model_64_0.001_3_10_50_128epoch=05.ckpt,5,0.64,21,0.7625,57.0264,7.7206,0.0008,3.547,1.1855,11.7175,0.7139,2336.5908,91.1456,2427.736,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.0044,0.3593,0.3593,0.3593
