batch_size	learning_rate	split_count	cnt_min	cnt_max	embedding_dim	category_embedding_dim	hidden_size	checkpoint	epoch_num	accuracy	early_stop_epoch	hidden_size	metric_rankme	metric_coherence	metric_pseudo_condition_number	metric_alpha_req	metric_stable_rank	metric_ne_sum	metric_self_clustering	metric_ripser	std_metric_rankme	std_metric_coherence	std_metric_pseudo_condition_number	std_metric_alpha_req	std_metric_stable_rank	std_metric_ne_sum	std_metric_self_clustering	std_metric_ripser	time_rankme	time_coherence	time_pseudo_condition_number	time_alpha_req	time_stable_rank	time_ne_sum	time_self_clustering	time_ripser	std_time_rankme	std_time_coherence	std_time_pseudo_condition_number	std_time_alpha_req	std_time_stable_rank	std_time_ne_sum	std_time_self_clustering	std_time_ripser
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=06.ckpt	6	0.5152777777777777	19	128	47.1843	2.4283	0.0005	3.7802	1.1412	7.984	0.7662	-1235.9948	0.1876	0.218	0.0	0.0155	0.0012	0.3564	0.0016	7.5682	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=07.ckpt	7	0.5211111111111111	19	128	48.0695	2.3174	0.0005	3.8267	1.142	8.2447	0.7652	-1285.4287	0.2094	0.2793	0.0	0.0116	0.0015	0.3514	0.002	7.2961	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1765	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0135
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=08.ckpt	8	0.5158333333333334	19	128	48.5545	2.2306	0.0005	3.821	1.1437	8.8375	0.7629	-1313.2098	0.1775	0.1543	0.0	0.0126	0.0015	0.4361	0.002	6.6894	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1642	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0114
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=09.ckpt	9	0.5172222222222222	19	128	48.8169	2.2951	0.0006	3.7245	1.1432	8.3474	0.7636	-1323.6045	0.1784	0.2576	0.0	0.0129	0.0013	0.3529	0.0017	7.0326	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0105
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=10.ckpt	10	0.5225	19	128	49.2149	2.7517	0.0007	3.6639	1.1438	8.1177	0.7629	-1327.9646	0.1845	0.7053	0.0	0.0156	0.0013	0.281	0.0018	6.9101	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0145
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=11.ckpt	11	0.5236111111111111	19	128	49.282	2.2228	0.0007	3.7138	1.1439	8.7266	0.7628	-1335.9309	0.1594	0.0931	0.0	0.0133	0.0013	0.3955	0.0017	6.29	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0145
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=12.ckpt	12	0.5230555555555556	19	128	48.8901	2.3335	0.0006	3.7664	1.1438	8.2031	0.7631	-1340.4366	0.1361	0.2362	0.0	0.0093	0.0012	0.3318	0.0017	5.5971	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.0009	0.1557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0128
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=13.ckpt	13	0.5236111111111111	19	128	49.8135	2.3648	0.0006	3.7358	1.1477	8.5036	0.7581	-1366.6506	0.1557	0.3784	0.0	0.0107	0.0012	0.3209	0.0017	6.3479	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0157
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=14.ckpt	14	0.5236111111111111	19	128	50.3882	2.2091	0.0007	3.6931	1.1529	8.8534	0.7509	-1380.3928	0.1527	0.0972	0.0	0.0128	0.0015	0.3944	0.0019	6.5482	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0141
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=15.ckpt	15	0.525	19	128	49.9989	2.2598	0.0007	3.7099	1.1506	8.4623	0.754	-1377.1589	0.1579	0.1242	0.0	0.0118	0.0013	0.357	0.0018	5.5658	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0212
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=16.ckpt	16	0.5288888888888889	19	128	50.1182	2.1884	0.0009	3.6824	1.1482	8.4816	0.7572	-1378.0167	0.1619	0.1386	1E-04	0.0106	0.0014	0.3414	0.0019	5.7835	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0162
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=17.ckpt	17	0.52	19	128	49.151	2.2335	0.0007	3.7406	1.1447	8.1757	0.7619	-1372.3773	0.1359	0.1342	1E-04	0.0116	0.0013	0.3058	0.0017	6.2495	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0169
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=18.ckpt	18	0.5311111111111111	19	128	50.5451	2.219	0.0009	3.7285	1.1548	8.5623	0.7486	-1397.5977	0.1408	0.1161	1E-04	0.0134	0.0015	0.3325	0.002	6.6037	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0161
