batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,sample_fraction,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,metric_ripser_sum,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,time_ripser_sum
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=00.ckpt,0,0.588,13,0.525,48.9651,5.6911,0.002,3.5419,1.2023,9.4369,0.7011,1141.8275,37.0245,1178.8518,0.0001,0.0001,0.0,0.0002,0.0001,0.0015,0.0016,0.1596,0.1596,0.1596
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=01.ckpt,1,0.604,13,0.525,53.3736,5.7203,0.0007,3.6681,1.2193,10.518,0.6789,1465.2601,51.164,1516.4241,0.0001,0.0001,0.0,0.0002,0.0001,0.0015,0.0016,0.1664,0.1664,0.1664
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=02.ckpt,2,0.664,13,0.525,53.6682,5.9091,0.0004,3.9038,1.1872,10.8673,0.7133,1584.4191,57.104,1641.5231,0.0001,0.0001,0.0,0.0002,0.0001,0.0015,0.0016,0.1749,0.1749,0.1749
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=03.ckpt,3,0.668,13,0.525,55.3915,5.8821,0.0003,4.0172,1.1837,11.4857,0.7157,1685.8846,60.5,1746.3848,0.0001,0.0001,0.0,0.0002,0.0001,0.0014,0.0016,0.1721,0.1721,0.1721
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=04.ckpt,4,0.676,13,0.525,56.2206,5.98,0.0003,4.1035,1.1879,11.1438,0.7104,1787.8724,61.0442,1848.9164,0.0001,0.0001,0.0,0.0002,0.0001,0.0014,0.0016,0.1725,0.1725,0.1725
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=05.ckpt,5,0.68,13,0.525,57.4717,5.8474,0.0003,4.1672,1.1876,11.5851,0.7101,1851.6758,60.5089,1912.1846,0.0001,0.0001,0.0,0.0002,0.0001,0.0014,0.0015,0.1678,0.1678,0.1678
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=06.ckpt,6,0.716,13,0.525,57.2449,5.7786,0.0003,4.1501,1.1764,11.3732,0.7231,1850.9958,59.661,1910.6566,0.0001,0.0001,0.0,0.0002,0.0001,0.0014,0.0016,0.1696,0.1696,0.1696
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=07.ckpt,7,0.684,13,0.525,58.4096,6.016,0.0003,4.1413,1.1791,12.5987,0.7199,1927.4418,61.5293,1988.9714,0.0001,0.0001,0.0,0.0002,0.0001,0.0014,0.0016,0.1683,0.1683,0.1683
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=08.ckpt,8,0.676,13,0.525,58.623,5.9983,0.0003,4.144,1.1801,11.7462,0.718,1965.8776,67.2871,2033.1646,0.0001,0.0001,0.0,0.0002,0.0001,0.0014,0.0015,0.173,0.173,0.173
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=09.ckpt,9,0.688,13,0.525,59.2375,5.9957,0.0003,4.0819,1.1792,11.9472,0.7193,1975.4106,62.4271,2037.8376,0.0001,0.0001,0.0,0.0002,0.0001,0.0014,0.0015,0.1694,0.1694,0.1694
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=10.ckpt,10,0.696,13,0.525,59.346,5.5932,0.0003,4.1187,1.1821,12.0234,0.7155,2006.1519,67.7375,2073.8892,0.0001,0.0001,0.0,0.0002,0.0001,0.0014,0.0016,0.1707,0.1707,0.1707
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=11.ckpt,11,0.704,13,0.525,59.5434,5.8601,0.0003,4.0533,1.182,12.2528,0.7159,2000.4916,66.1883,2066.6802,0.0001,0.0001,0.0,0.0002,0.0001,0.0014,0.0016,0.1701,0.1701,0.1701
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=12.ckpt,12,0.66,13,0.525,59.5755,5.6369,0.0003,4.1329,1.182,12.261,0.7156,2019.8344,68.8169,2088.6514,0.0001,0.0001,0.0,0.0002,0.0001,0.0014,0.0016,0.1718,0.1718,0.1718
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=13.ckpt,13,0.688,13,0.525,59.5557,6.0292,0.0004,4.0729,1.177,12.8096,0.7216,2013.776,65.9265,2079.7024,0.0001,0.0001,0.0,0.0002,0.0001,0.0014,0.0016,0.1648,0.1648,0.1648
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=14.ckpt,14,0.68,13,0.525,59.3443,5.8929,0.0003,4.1493,1.1765,13.1713,0.7222,2014.9648,65.7117,2080.6765,0.0001,0.0001,0.0,0.0002,0.0001,0.0014,0.0016,0.1708,0.1708,0.1708
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=15.ckpt,15,0.676,13,0.525,59.8171,5.6049,0.0003,4.1157,1.1804,13.2334,0.7174,2035.2262,68.87,2104.0962,0.0001,0.0001,0.0,0.0002,0.0001,0.0014,0.0016,0.167,0.167,0.167
