batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,sample_fraction,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,metric_ripser_sum,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,time_ripser_sum
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=00.ckpt,0,0.56,3,0.05,31.3527,1.0,0.0039,3.5649,1.2144,7.538,0.6821,124.1731,2.2728,126.4459,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0122,0.0122,0.0122
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=01.ckpt,1,0.66,3,0.05,31.748,1.0,0.0039,3.4903,1.1966,8.1196,0.6993,150.3634,2.9701,153.3335,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.011,0.011,0.011
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=02.ckpt,2,0.692,3,0.05,32.9319,1.0,0.0041,3.3856,1.1977,9.0111,0.6955,171.5646,3.669,175.2336,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0105,0.0105,0.0105
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=03.ckpt,3,0.664,3,0.05,33.4202,1.0,0.0045,3.2757,1.192,9.1144,0.7014,180.0147,3.6153,183.6301,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0123,0.0123,0.0123
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=04.ckpt,4,0.672,3,0.05,33.9344,1.0,0.0044,3.1619,1.1849,9.391,0.7097,188.4109,4.1554,192.5663,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0109,0.0109,0.0109
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=05.ckpt,5,0.66,3,0.05,35.3055,1.0,0.005,3.0453,1.1962,9.282,0.6959,196.5061,4.0449,200.5509,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0127,0.0127,0.0127
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=06.ckpt,6,0.652,3,0.05,34.5874,1.0,0.0048,3.0329,1.1816,9.0161,0.713,199.107,4.0572,203.1643,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0114,0.0114,0.0114
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=07.ckpt,7,0.688,3,0.05,35.5268,1.0,0.0051,2.975,1.1939,8.8178,0.6983,206.7317,4.5648,211.2965,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0155,0.0155,0.0155
64,0.001,3,10,50,16,8,128,gender/checkpoints/model_64_0.001_3_10_50_128epoch=00.ckpt,0,0.552,19,0.05,31.8106,1.0,0.0038,3.6377,1.2285,8.2925,0.6696,112.0397,1.4952,113.5348,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0121,0.0121,0.0121
64,0.001,3,10,50,16,8,128,gender/checkpoints/model_64_0.001_3_10_50_128epoch=01.ckpt,1,0.584,19,0.05,32.8987,1.0,0.0043,3.47,1.2259,8.7327,0.6712,131.6829,1.6706,133.3535,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0107,0.0107,0.0107
