batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size.1,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,sample_fraction
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=00.ckpt,0,0.6846511627906977,14,128,26.4819,1.3872,0.0005,5.174,1.2822,2.6606,0.5922,227.5971,8.9113,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0222,0.0222,0.05
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=01.ckpt,1,0.6967441860465117,14,128,29.8015,1.3846,0.0005,5.0654,1.2905,3.518,0.5951,267.1006,11.5983,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0228,0.0228,0.05
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=02.ckpt,2,0.706046511627907,14,128,32.1791,1.3786,0.0005,5.0844,1.272,4.4847,0.6143,301.8682,14.018,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0232,0.0232,0.05
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=03.ckpt,3,0.7134883720930233,14,128,31.9723,1.3824,0.0004,5.1526,1.2058,5.8443,0.6776,317.4534,17.654,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0249,0.0249,0.05
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=04.ckpt,4,0.7004651162790698,14,128,34.3944,1.3798,0.0004,5.155,1.2218,7.5487,0.6618,343.1667,21.2755,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.026,0.026,0.05
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=05.ckpt,5,0.7134883720930233,14,128,35.8541,1.377,0.0004,5.1633,1.2383,7.3464,0.6461,367.0654,23.1123,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0259,0.0259,0.05
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=06.ckpt,6,0.7004651162790698,14,128,36.3283,1.3785,0.0004,5.2005,1.2311,7.5538,0.6543,376.1307,23.6116,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0257,0.0257,0.05
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=07.ckpt,7,0.7023255813953488,14,128,36.9546,1.3786,0.0004,5.2109,1.2252,8.4358,0.6602,386.0716,24.005,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0264,0.0264,0.05
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=08.ckpt,8,0.7004651162790698,14,128,37.2834,1.3717,0.0003,5.2426,1.22,7.8234,0.6662,393.5814,23.2507,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0262,0.0262,0.05
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=09.ckpt,9,0.7116279069767442,14,128,38.0251,1.3723,0.0003,5.2877,1.2227,7.8418,0.6634,399.8956,24.1168,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0262,0.0262,0.05
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=10.ckpt,10,0.7023255813953488,14,128,38.7091,1.3705,0.0004,5.2415,1.226,9.3931,0.6594,409.4437,24.8756,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0287,0.0287,0.05
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=11.ckpt,11,0.707906976744186,14,128,38.8054,1.372,0.0004,5.2226,1.2239,8.6225,0.6608,409.7321,24.0726,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0267,0.0267,0.05
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=12.ckpt,12,0.6986046511627907,14,128,39.0461,1.371,0.0004,5.254,1.2188,9.1386,0.6668,411.9572,24.9127,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0331,0.0331,0.05
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=13.ckpt,13,0.7032558139534884,14,128,38.6169,1.3733,0.0003,5.2744,1.2049,9.5137,0.6818,412.6216,25.0231,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0321,0.0321,0.05
