batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,sample_fraction,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,std_metric_rankme,std_metric_coherence,std_metric_pseudo_condition_number,std_metric_alpha_req,std_metric_stable_rank,std_metric_ne_sum,std_metric_self_clustering,std_metric_ripser_sum_H0,std_metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,std_time_rankme,std_time_coherence,std_time_pseudo_condition_number,std_time_alpha_req,std_time_stable_rank,std_time_ne_sum,std_time_self_clustering,std_time_ripser_sum_H0,std_time_ripser_sum_H1
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=05.ckpt,11,0.49583333333333335,5,64,,29.9648,3.4764,0.0032,2.942,1.173,6.3926,0.7237,855.0056,66.56,0.109,1.1343,0.0003,0.0371,0.0016,0.2734,0.0019,4.3264,3.2649,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0012,0.1507,0.1507,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0166,0.0166
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=06-v1.ckpt,12,0.5027777777777778,5,64,,30.2241,3.1909,0.0027,2.7334,1.1616,6.8973,0.7373,857.8395,62.5376,0.0889,1.2328,1e-04,0.0166,0.0023,0.3417,0.0029,3.7294,4.1097,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0011,0.1372,0.1372,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0107,0.0107
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=06.ckpt,13,0.5,5,64,,31.1802,3.3557,0.0033,2.8909,1.1891,6.742,0.7039,900.6952,69.3765,0.1051,1.0046,0.0004,0.0389,0.0016,0.294,0.0018,4.123,2.4887,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.001,0.1691,0.1691,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0491,0.0491
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=07-v1.ckpt,14,0.4938888888888889,5,64,,30.9123,2.5899,0.0025,2.751,1.1695,6.9368,0.7272,881.8882,66.8452,0.095,0.3663,1e-04,0.0186,0.0023,0.3268,0.0028,3.9753,3.4967,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0011,0.1431,0.1431,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0112,0.0112
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=07.ckpt,15,0.5008333333333334,5,64,,31.1499,3.2991,0.0034,2.8364,1.1848,6.8875,0.7089,911.1378,69.5356,0.1262,1.0152,0.0003,0.0386,0.0019,0.2999,0.0022,3.7908,2.6961,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0011,0.1532,0.1532,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0224,0.0224
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=08-v1.ckpt,16,0.49194444444444446,5,64,,30.3065,2.6857,0.0021,2.7445,1.1612,6.6505,0.7379,878.301,61.6858,0.0914,0.3853,1e-04,0.0175,0.0022,0.303,0.0029,4.3742,3.8853,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0011,0.1374,0.1374,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0085,0.0085
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=08.ckpt,17,0.5013888888888889,5,64,,31.1387,2.9902,0.0033,2.8536,1.1817,7.1018,0.7125,921.322,71.9873,0.1227,0.7262,0.0002,0.0346,0.0018,0.3247,0.0021,3.6769,2.6677,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0011,0.1588,0.1588,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0224,0.0224
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=09-v1.ckpt,18,0.5011111111111111,5,64,,30.5901,2.6815,0.0021,2.7403,1.1596,7.0313,0.7405,877.2004,64.1514,0.1014,0.4035,1e-04,0.0158,0.0019,0.3628,0.0025,4.2197,3.3454,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0011,0.139,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0106,0.0106
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=09.ckpt,19,0.5022222222222222,5,64,,31.0385,3.1827,0.0031,2.8688,1.1815,6.9125,0.7129,925.2393,72.1755,0.1249,0.8973,1e-04,0.0369,0.0018,0.3001,0.0022,4.5321,3.1263,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.001,0.1642,0.1642,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0184,0.0184
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=10.ckpt,20,0.4930555555555556,5,64,,31.4582,3.3355,0.0038,2.7686,1.1826,6.8287,0.7115,926.5563,70.7165,0.1386,1.0208,0.0002,0.0385,0.0021,0.3079,0.0024,4.0113,3.5772,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0011,0.1535,0.1535,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0121,0.0121
