batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,sample_fraction,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,std_metric_rankme,std_metric_coherence,std_metric_pseudo_condition_number,std_metric_alpha_req,std_metric_stable_rank,std_metric_ne_sum,std_metric_self_clustering,std_metric_ripser_sum_H0,std_metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,std_time_rankme,std_time_coherence,std_time_pseudo_condition_number,std_time_alpha_req,std_time_stable_rank,std_time_ne_sum,std_time_self_clustering,std_time_ripser_sum_H0,std_time_ripser_sum_H1
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=00.ckpt,0,0.48194444444444445,12,128,0.525,35.427,7.4955,0.0006,4.0606,1.1179,6.8168,0.8,7795.822,871.7971,0.0356,1.3127,0.0,0.0037,0.0005,0.0485,0.0006,11.1969,11.4236,0.0001,0.0009,0.0,0.0002,0.0005,0.0051,0.1373,26.8353,26.8353,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0015,2.1625,2.1625
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=01.ckpt,1,0.48694444444444446,12,128,0.525,40.5395,8.061,0.0004,4.0861,1.136,6.7779,0.7744,9590.79,1190.446,0.029,1.6613,0.0,0.0043,0.0004,0.0514,0.0005,10.6468,12.5848,0.0001,0.0009,0.0,0.0002,0.0005,0.0052,0.1364,31.3716,31.3716,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0016,2.5827,2.5827
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=02.ckpt,2,0.5091666666666667,12,128,0.525,43.3951,3.367,0.0004,4.0806,1.1371,7.6021,0.7729,11050.412,1339.6587,0.0267,0.0906,0.0,0.0026,0.0004,0.0489,0.0005,9.6665,14.9266,0.0001,0.0008,0.0,0.0002,0.0005,0.0052,0.1365,35.1401,35.1401,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0014,3.3351,3.3351
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=03.ckpt,3,0.5088888888888888,12,128,0.525,45.8975,3.3417,0.0006,4.0134,1.1462,7.5553,0.7604,11927.923,1462.1509,0.0288,0.1007,0.0,0.0021,0.0004,0.0412,0.0005,11.3519,8.8469,0.0001,0.0008,0.0,0.0002,0.0005,0.0051,0.136,35.7456,35.7456,0.0,0.0001,0.0,0.0,0.0001,0.0,0.001,2.2196,2.2196
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=04.ckpt,4,0.5102777777777778,12,128,0.525,46.2629,3.6146,0.0004,4.1914,1.1511,7.7603,0.7541,12639.743,1582.762,0.0318,0.1017,0.0,0.0023,0.0004,0.0736,0.0005,12.2073,11.6907,0.0001,0.0008,0.0,0.0002,0.0005,0.0052,0.1355,38.7521,38.7521,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0008,7.2196,7.2196
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=05.ckpt,5,0.5175,12,128,0.525,47.2705,4.545,0.0003,4.3696,1.1544,7.5711,0.7499,13039.136,1601.5232,0.033,0.2628,0.0,0.0026,0.0004,0.0482,0.0006,10.9858,15.1913,0.0001,0.0008,0.0,0.0002,0.0005,0.0052,0.1368,37.9057,37.9057,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0017,4.0685,4.0685
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=06.ckpt,6,0.53,12,128,0.525,47.0615,7.2193,0.0002,4.282,1.1494,7.7751,0.7562,13148.776,1582.3527,0.0307,1.2348,0.0,0.003,0.0004,0.0463,0.0005,9.9135,12.8279,0.0001,0.0008,0.0,0.0002,0.0005,0.0052,0.1365,37.3626,37.3626,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0016,3.356,3.356
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=07.ckpt,7,0.5138888888888888,12,128,0.525,48.0908,6.6261,0.0,4.5619,1.1572,7.8506,0.7463,13541.479,1656.7649,0.0348,0.8406,0.0,0.0039,0.0004,0.0474,0.0006,12.0219,19.4426,0.0001,0.0008,0.0,0.0002,0.0005,0.0053,0.1367,41.5451,41.5451,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0017,5.2719,5.2719
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=08.ckpt,8,0.5205555555555555,12,128,0.525,49.6267,7.8438,1e-04,4.402,1.1681,7.4679,0.7323,13958.98,1670.4719,0.0285,1.5104,0.0,0.0041,0.0005,0.0552,0.0006,12.8263,15.2356,0.0001,0.0008,0.0,0.0002,0.0005,0.0053,0.1359,41.4385,41.4385,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0014,4.9407,4.9407
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=09.ckpt,9,0.525,12,128,0.525,48.0778,8.7375,1e-04,4.4329,1.1551,7.1996,0.7485,13793.013,1741.7227,0.0342,2.3429,0.0,0.0058,0.0004,0.0431,0.0006,13.2169,14.3271,0.0001,0.0009,0.0,0.0002,0.0006,0.0052,0.1367,44.9411,44.9411,0.0,0.0001,0.0,0.0,0.0001,0.0002,0.002,4.9022,4.9022
