batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size.1,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,sample_fraction
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=00.ckpt,0,0.706046511627907,21,128,31.9256,14.2653,0.0018,4.1172,1.34,3.5359,0.5662,2691.6973,209.8114,0.0001,0.0004,0.0,0.0002,0.0002,0.0028,0.0267,2.3074,2.3074,0.762
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=01.ckpt,1,0.7051162790697675,21,128,35.6577,12.5292,0.002,4.0901,1.3207,4.0861,0.5709,3210.2444,275.9482,0.0001,0.0004,0.0,0.0002,0.0002,0.0028,0.0274,2.545,2.545,0.762
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=02.ckpt,2,0.706046511627907,21,128,38.1145,10.2445,0.0021,4.0493,1.3278,4.9296,0.5671,3765.2964,357.0065,0.0001,0.0004,0.0,0.0002,0.0002,0.0028,0.0277,2.824,2.824,0.762
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=03.ckpt,3,0.7190697674418605,21,128,39.0071,11.3382,0.0019,4.1132,1.2576,5.9245,0.6275,4087.248,413.2841,0.0001,0.0004,0.0,0.0002,0.0002,0.0028,0.0277,3.2327,3.2327,0.762
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=04.ckpt,4,0.72,21,128,40.7724,13.1731,0.0017,4.1739,1.2535,6.1365,0.6317,4442.3857,472.1234,0.0001,0.0004,0.0,0.0002,0.0002,0.0028,0.028,3.3644,3.3644,0.762
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=05.ckpt,5,0.7153488372093023,21,128,42.5566,10.3624,0.0017,4.2255,1.2753,6.7696,0.6122,4778.964,551.3496,0.0001,0.0004,0.0,0.0002,0.0002,0.0028,0.028,4.018,4.018,0.762
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=06.ckpt,6,0.7227906976744186,21,128,41.1302,11.3385,0.0014,4.2973,1.2267,8.3717,0.658,4818.1084,547.6158,0.0001,0.0004,0.0,0.0002,0.0002,0.0028,0.0272,3.587,3.587,0.762
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=07.ckpt,7,0.7153488372093023,21,128,41.6928,11.4423,0.0014,4.3078,1.2301,8.1378,0.655,5031.145,597.5564,0.0001,0.0004,0.0,0.0002,0.0002,0.0028,0.0277,3.9827,3.9827,0.762
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=08.ckpt,8,0.7088372093023256,21,128,41.8549,11.1076,0.0013,4.329,1.2189,7.9986,0.667,5081.918,611.5198,0.0001,0.0004,0.0,0.0002,0.0002,0.0028,0.0275,4.1,4.1,0.762
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=09.ckpt,9,0.7162790697674418,21,128,42.3435,11.6511,0.0013,4.3584,1.2177,8.1512,0.6681,5156.5874,628.5865,0.0001,0.0004,0.0,0.0002,0.0002,0.0028,0.0278,4.3871,4.3871,0.762
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=10.ckpt,10,0.7423255813953489,21,128,42.3945,11.5012,0.0013,4.3483,1.2169,9.1797,0.6696,5165.735,620.3604,0.0001,0.0004,0.0,0.0002,0.0002,0.0028,0.0274,4.0286,4.0286,0.762
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=11.ckpt,11,0.7404651162790697,21,128,42.5462,11.0745,0.0013,4.3309,1.2098,9.1761,0.6769,5207.6523,630.4178,0.0001,0.0004,0.0,0.0002,0.0002,0.0028,0.0282,4.1492,4.1492,0.762
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=12.ckpt,12,0.7255813953488373,21,128,42.2317,11.6318,0.0013,4.34,1.2028,8.7293,0.6844,5169.2603,612.3823,0.0001,0.0004,0.0,0.0002,0.0002,0.0029,0.0281,3.9403,3.9403,0.762
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=13.ckpt,13,0.7125581395348837,21,128,42.4066,12.1273,0.0013,4.3677,1.1978,11.0497,0.6902,5250.037,639.9738,0.0001,0.0004,0.0,0.0002,0.0002,0.0028,0.028,4.4093,4.4093,0.762
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=14.ckpt,14,0.7246511627906976,21,128,43.9394,11.2074,0.0014,4.3171,1.2225,9.5909,0.6632,5414.8154,666.4042,0.0001,0.0004,0.0,0.0002,0.0002,0.0028,0.0273,4.539,4.539,0.762
