batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,sample_fraction,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,std_metric_rankme,std_metric_coherence,std_metric_pseudo_condition_number,std_metric_alpha_req,std_metric_stable_rank,std_metric_ne_sum,std_metric_self_clustering,std_metric_ripser_sum_H0,std_metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,std_time_rankme,std_time_coherence,std_time_pseudo_condition_number,std_time_alpha_req,std_time_stable_rank,std_time_ne_sum,std_time_self_clustering,std_time_ripser_sum_H0,std_time_ripser_sum_H1
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=11.ckpt,11,0.5375,10,128,0.05,48.2196,2.7571,0.0002,4.1645,1.1633,7.1213,0.7381,1492.1083,107.3656,0.1044,0.2894,0.0,0.0191,0.0011,0.2318,0.0015,5.1204,3.1889,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1563,0.1563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0133
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=12.ckpt,12,0.5355555555555556,10,128,0.05,47.5789,2.7593,0.0002,4.1932,1.1604,7.3392,0.7422,1479.0608,102.4438,0.1021,0.2977,0.0,0.0266,0.0011,0.2732,0.0015,5.8749,3.7283,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1554,0.1554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.0083
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=13.ckpt,13,0.5366666666666666,10,128,0.05,47.7709,2.7933,0.0002,4.2965,1.1579,7.5023,0.7451,1487.4395,108.0212,0.0922,0.3183,0.0,0.0275,0.0008,0.2132,0.0011,5.0835,2.9971,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.0009,0.162,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0075
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=14.ckpt,14,0.5447222222222222,10,128,0.05,50.1864,2.8049,0.0002,4.0667,1.1718,7.5024,0.7276,1528.3109,108.829,0.0965,0.3896,0.0,0.0228,0.0014,0.2777,0.0018,4.9632,4.4658,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.171,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137,0.0137
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=00.ckpt,0,0.4638888888888889,4,128,0.05,35.2853,3.3909,0.0013,4.329,1.1509,6.5827,0.7558,738.5789,50.7312,0.1456,0.2557,0.0,0.0164,0.0017,0.525,0.0022,3.1289,1.7504,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1544,0.1544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101,0.0101
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=01.ckpt,1,0.49027777777777776,4,128,0.05,38.2428,2.9478,0.0012,4.0703,1.1225,6.8569,0.7919,867.5409,64.6985,0.1349,0.2827,1e-04,0.0181,0.0012,0.3512,0.0016,3.9758,3.03,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1555,0.1555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145,0.0145
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=02.ckpt,2,0.51,4,128,0.05,39.3667,2.7513,0.0009,3.9245,1.112,7.0525,0.8072,953.9731,68.7838,0.1553,0.2643,0.0,0.0153,0.0011,0.4163,0.0015,3.3637,3.5992,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1649,0.1649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161,0.0161
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=03.ckpt,3,0.5147222222222222,4,128,0.05,41.3037,2.3456,0.0008,3.8882,1.1188,7.6679,0.7975,1029.121,72.9916,0.1398,0.1816,0.0,0.0125,0.0012,0.4463,0.0016,3.5403,3.1104,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.161,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0147,0.0147
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=04.ckpt,4,0.5088888888888888,4,128,0.05,42.4705,2.3409,0.0007,3.8254,1.1208,7.8225,0.7947,1091.0961,76.1026,0.1398,0.2441,0.0,0.0101,0.0011,0.4045,0.0015,3.3987,3.3095,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1645,0.1645,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0101,0.0101
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=05.ckpt,5,0.52,4,128,0.05,41.7944,2.3541,0.0005,3.833,1.1138,7.133,0.8047,1108.0713,72.903,0.127,0.3334,0.0,0.0124,0.0011,0.2426,0.0015,3.6608,2.5059,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1529,0.1529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079,0.0079
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=06.ckpt,6,0.5188888888888888,4,128,0.05,43.0797,2.3629,0.0005,3.8065,1.1185,7.2549,0.7978,1148.2605,73.7781,0.125,0.197,0.0,0.0133,0.001,0.3201,0.0014,3.1509,3.649,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1556,0.1556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283,0.0283
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=07.ckpt,7,0.5288888888888889,4,128,0.05,43.4861,2.2256,0.0004,3.7989,1.1182,7.5453,0.798,1178.2739,76.7705,0.1268,0.2987,0.0,0.0109,0.0009,0.3205,0.0013,3.5984,3.6616,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1549,0.1549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=08.ckpt,8,0.5255555555555556,4,128,0.05,44.5176,2.4273,0.0004,3.823,1.1217,7.6236,0.7931,1212.1527,78.9137,0.1295,0.4347,0.0,0.0123,0.0011,0.337,0.0015,3.869,3.7387,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.147,0.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143,0.0143
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=00.ckpt,0,0.42333333333333334,14,128,0.05,34.533,3.7512,0.0014,4.393,1.191,6.7954,0.7066,689.1454,47.6349,0.1723,0.4775,1e-04,0.0173,0.0027,0.3264,0.0031,3.1498,1.74,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.128,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065,0.0065
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=01.ckpt,1,0.4583333333333333,14,128,0.05,40.69,3.4523,0.0016,4.1765,1.1812,7.5277,0.7161,823.0526,54.5662,0.1509,0.346,0.0,0.0214,0.0028,0.256,0.0033,4.6488,2.9447,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1349,0.1349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0084
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=02.ckpt,2,0.46194444444444444,14,128,0.05,41.9952,3.0753,0.0014,3.9935,1.1466,7.5647,0.7592,874.9709,57.9261,0.1342,0.2879,0.0,0.021,0.0018,0.2849,0.0023,3.7738,3.0474,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.0011,0.1498,0.1498,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0085,0.0085
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=03.ckpt,3,0.49027777777777776,14,128,0.05,43.1149,2.7068,0.0013,3.8682,1.1344,7.7868,0.7756,936.695,60.5078,0.1206,0.1987,0.0,0.0158,0.0016,0.3048,0.0022,3.6663,3.2842,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.168,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114,0.0114
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=04.ckpt,4,0.49527777777777776,14,128,0.05,44.6666,2.731,0.0012,3.7786,1.1342,8.1242,0.776,993.4225,62.3693,0.1069,0.2879,1e-04,0.0156,0.0017,0.4454,0.0022,3.0501,2.791,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1545,0.1545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.0059
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=05.ckpt,5,0.4938888888888889,14,128,0.05,44.2979,2.4432,0.0008,3.7601,1.1197,8.3018,0.7959,1010.9834,65.369,0.1149,0.1759,0.0,0.0143,0.0012,0.356,0.0017,2.9425,2.6162,0.0001,0.0001,0.0,0.0001,0.0001,0.0013,0.001,0.1598,0.1598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0081
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=06.ckpt,6,0.5008333333333334,14,128,0.05,46.9191,2.5757,0.0009,3.7286,1.1338,7.9185,0.7759,1065.8049,69.5468,0.112,0.1306,0.0,0.0123,0.0013,0.3357,0.0018,3.4376,2.3987,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1497,0.1497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108,0.0108
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=07.ckpt,7,0.5047222222222222,14,128,0.05,46.0015,2.4143,0.0008,3.701,1.1235,7.8532,0.7902,1082.68,70.0437,0.1327,0.1695,0.0,0.014,0.0011,0.3082,0.0016,4.2092,2.5631,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106,0.0106
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=08.ckpt,8,0.515,14,128,0.05,46.1455,2.3815,0.0006,3.6752,1.1208,8.0125,0.7937,1101.9734,70.8519,0.1241,0.2027,0.0,0.0147,0.0012,0.3182,0.0017,4.4787,2.3349,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1795,0.1795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.0122
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=09.ckpt,9,0.5219444444444444,14,128,0.05,45.2975,2.3466,0.0005,3.7265,1.1145,8.3721,0.8032,1109.4081,71.3129,0.1261,0.2623,0.0,0.0156,0.0009,0.3785,0.0013,4.3346,2.5507,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.0011,0.1607,0.1607,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0185,0.0185
128,0.001,3,10,50,16,8,128,checkpoints/model_128_0.001_3_10_50_128epoch=10.ckpt,10,0.5180555555555556,14,128,0.05,46.102,2.2449,0.0006,3.6858,1.1184,8.1886,0.7973,1118.5442,72.8768,0.1363,0.215,0.0,0.0135,0.0009,0.3516,0.0013,4.3242,2.39,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.0012,0.1728,0.1728,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0099,0.0099
