,batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,mcc_code_in,term_id_in,tr_type_in,num_epochs,source_features,checkpoint,epoch_num,early_stop_epoch,recall_topk,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,metric_ripser_sum_H0,metric_ripser_sq_sum_H0,metric_ripser_sum_H0_norm0.5,metric_ripser_sq_sum_H0_norm0.5,metric_ripser_sum_H0_norm0.7,metric_ripser_sq_sum_H0_norm0.7,metric_ripser_sum_H0_norm0.8,metric_ripser_sq_sum_H0_norm0.8,metric_ripser_sum_H0_norm0.9,metric_ripser_sq_sum_H0_norm0.9,metric_ripser_sum_H0_norm0.95,metric_ripser_sq_sum_H0_norm0.95,metric_ripser_sum_H0_norm0.99,metric_ripser_sq_sum_H0_norm0.99,metric_ripser_sum_H1,metric_ripser_sq_sum_H1,metric_ripser_sum_H1_norm0.5,metric_ripser_sq_sum_H1_norm0.5,metric_ripser_sum_H1_norm0.7,metric_ripser_sq_sum_H1_norm0.7,metric_ripser_sum_H1_norm0.8,metric_ripser_sq_sum_H1_norm0.8,metric_ripser_sum_H1_norm0.9,metric_ripser_sq_sum_H1_norm0.9,metric_ripser_sum_H1_norm0.95,metric_ripser_sq_sum_H1_norm0.95,metric_ripser_sum_H1_norm0.99,metric_ripser_sq_sum_H1_norm0.99,std_rankme,std_coherence,std_pseudo_condition_number,std_alpha_req,std_stable_rank,std_ne_sum,std_self_clustering,std_ripser,std_ripser_sum_H0,std_ripser_sq_sum_H0,std_ripser_sum_H0_norm0.5,std_ripser_sq_sum_H0_norm0.5,std_ripser_sum_H0_norm0.7,std_ripser_sq_sum_H0_norm0.7,std_ripser_sum_H0_norm0.8,std_ripser_sq_sum_H0_norm0.8,std_ripser_sum_H0_norm0.9,std_ripser_sq_sum_H0_norm0.9,std_ripser_sum_H0_norm0.95,std_ripser_sq_sum_H0_norm0.95,std_ripser_sum_H0_norm0.99,std_ripser_sq_sum_H0_norm0.99,std_ripser_sum_H1,std_ripser_sq_sum_H1,std_ripser_sum_H1_norm0.5,std_ripser_sq_sum_H1_norm0.5,std_ripser_sum_H1_norm0.7,std_ripser_sq_sum_H1_norm0.7,std_ripser_sum_H1_norm0.8,std_ripser_sq_sum_H1_norm0.8,std_ripser_sum_H1_norm0.9,std_ripser_sq_sum_H1_norm0.9,std_ripser_sum_H1_norm0.95,std_ripser_sq_sum_H1_norm0.95,std_ripser_sum_H1_norm0.99,std_ripser_sq_sum_H1_norm0.99,accuracy,roc_auc,sample_fraction
0,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=00.ckpt,0,30,0.38143387,28.2589,3.3442,0.0011,4.3443,1.2926,6.307,0.6103,,615.6854,30.5377,210.6273,10.447,186.0001,9.2255,173.0749,8.5844,157.4909,7.8115,146.2834,7.2556,127.2871,6.3134,37.3926,2.4306,12.7921,0.8315,11.2964,0.7343,10.5114,0.6833,9.565,0.6217,8.8843,0.5775,7.7306,0.5025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.584,0.5365,0.2875
1,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=01.ckpt,1,30,0.40986517,30.8778,3.3211,0.001,4.3034,1.2366,6.9603,0.6589,,723.2631,35.492,227.6495,11.1712,205.4715,10.0829,193.9238,9.5162,178.9399,8.7809,167.0832,8.1991,141.9207,6.9643,49.4374,2.8067,15.5606,0.8834,14.0447,0.7974,13.2553,0.7525,12.2311,0.6944,11.4207,0.6484,9.7008,0.5507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664,0.6664,0.2875
2,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=02.ckpt,2,30,0.41648296,34.6211,3.3027,0.0009,4.4293,1.2344,6.4511,0.6609,,808.7764,39.5879,238.5986,11.6789,216.7744,10.6107,205.2105,10.0446,190.6307,9.331,179.2577,8.7743,155.442,7.6086,53.6389,3.0416,15.8241,0.8973,14.3767,0.8152,13.6098,0.7717,12.6428,0.7169,11.8886,0.6741,10.3091,0.5846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,0.6937,0.2875
3,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=03.ckpt,3,30,0.42604163,36.5315,3.226,0.0009,4.5411,1.2254,7.3283,0.6687,,867.0358,42.3378,246.9542,12.0589,226.0802,11.0396,214.8666,10.492,200.6625,9.7985,189.5673,9.2567,166.8123,8.1455,55.9182,3.1633,15.9269,0.901,14.5807,0.8248,13.8575,0.7839,12.9414,0.7321,12.2259,0.6916,10.7583,0.6086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644,0.6683,0.2875
4,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=04.ckpt,4,30,0.43541664,38.3743,3.2605,0.0006,4.6356,1.2172,7.7377,0.6773,,901.3509,43.9966,252.7134,12.3354,231.9162,11.3203,220.7331,10.7744,206.4042,10.075,195.0638,9.5214,171.5858,8.3754,60.7592,3.3238,17.0352,0.9319,15.6332,0.8552,14.8794,0.814,13.9135,0.7611,13.1491,0.7193,11.5664,0.6327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0.6958,0.2875
5,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=05.ckpt,5,30,0.43903193,39.7997,3.2708,0.0005,4.7181,1.2048,8.5532,0.691,,930.1227,45.3725,257.9398,12.5826,237.3686,11.5791,226.0525,11.0271,211.771,10.3304,200.2491,9.7684,173.8495,8.4806,57.1704,3.0986,15.8544,0.8593,14.59,0.7908,13.8944,0.7531,13.0166,0.7055,12.3084,0.6671,10.6857,0.5792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668,0.6766,0.2875
6,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=06.ckpt,6,30,0.4390318,41.6677,3.3449,0.0006,4.6975,1.2096,8.6824,0.6846,,960.9868,46.9257,261.046,12.7471,240.9011,11.7634,230.1539,11.2386,215.9562,10.5453,204.9817,10.0094,181.1996,8.8481,60.2918,3.3077,16.3779,0.8985,15.114,0.8292,14.4397,0.7922,13.549,0.7433,12.8604,0.7056,11.3684,0.6237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.712,0.7115,0.2875
7,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=07.ckpt,7,30,0.44871333,42.5889,3.3272,0.0006,4.7757,1.2084,8.8296,0.6856,,975.2186,47.541,261.4308,12.7445,241.8344,11.7892,231.1951,11.2705,217.5355,10.6046,206.2666,10.0553,180.6111,8.8046,56.7579,3.2144,15.2153,0.8617,14.0748,0.7971,13.4556,0.762,12.6606,0.717,12.0048,0.6799,10.5116,0.5953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.6765,0.2875
8,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=08.ckpt,8,30,0.441299,43.0496,3.2569,0.0003,4.8221,1.2052,8.7257,0.6897,,986.5606,48.1649,264.4251,12.9095,244.553,11.9393,233.7506,11.4119,219.9045,10.736,208.6,10.1841,182.0076,8.8858,56.7329,3.1451,15.206,0.843,14.0632,0.7796,13.442,0.7452,12.6458,0.701,11.9957,0.665,10.4665,0.5802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.7207,0.2875
9,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=09.ckpt,9,30,0.44540447,44.704,3.2932,0.0004,4.8451,1.2094,9.6201,0.6855,,1000.3425,48.8331,267.3075,13.049,248.0334,12.1081,237.6376,11.6006,223.8763,10.9288,212.5798,10.3774,186.5682,9.1076,53.6121,3.0059,14.326,0.8032,13.293,0.7453,12.7359,0.7141,11.9984,0.6727,11.3929,0.6388,9.9989,0.5606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.7284,0.2875
