,batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,mcc_code_in,term_id_in,tr_type_in,num_epochs,source_features,checkpoint,epoch_num,early_stop_epoch,recall_topk,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,metric_ripser_sum_H0,metric_ripser_sq_sum_H0,metric_ripser_sum_H0_norm0.5,metric_ripser_sq_sum_H0_norm0.5,metric_ripser_sum_H0_norm0.7,metric_ripser_sq_sum_H0_norm0.7,metric_ripser_sum_H0_norm0.8,metric_ripser_sq_sum_H0_norm0.8,metric_ripser_sum_H0_norm0.9,metric_ripser_sq_sum_H0_norm0.9,metric_ripser_sum_H0_norm0.95,metric_ripser_sq_sum_H0_norm0.95,metric_ripser_sum_H0_norm0.99,metric_ripser_sq_sum_H0_norm0.99,metric_ripser_sum_H1,metric_ripser_sq_sum_H1,metric_ripser_sum_H1_norm0.5,metric_ripser_sq_sum_H1_norm0.5,metric_ripser_sum_H1_norm0.7,metric_ripser_sq_sum_H1_norm0.7,metric_ripser_sum_H1_norm0.8,metric_ripser_sq_sum_H1_norm0.8,metric_ripser_sum_H1_norm0.9,metric_ripser_sq_sum_H1_norm0.9,metric_ripser_sum_H1_norm0.95,metric_ripser_sq_sum_H1_norm0.95,metric_ripser_sum_H1_norm0.99,metric_ripser_sq_sum_H1_norm0.99,std_rankme,std_coherence,std_pseudo_condition_number,std_alpha_req,std_stable_rank,std_ne_sum,std_self_clustering,std_ripser,std_ripser_sum_H0,std_ripser_sq_sum_H0,std_ripser_sum_H0_norm0.5,std_ripser_sq_sum_H0_norm0.5,std_ripser_sum_H0_norm0.7,std_ripser_sq_sum_H0_norm0.7,std_ripser_sum_H0_norm0.8,std_ripser_sq_sum_H0_norm0.8,std_ripser_sum_H0_norm0.9,std_ripser_sq_sum_H0_norm0.9,std_ripser_sum_H0_norm0.95,std_ripser_sq_sum_H0_norm0.95,std_ripser_sum_H0_norm0.99,std_ripser_sq_sum_H0_norm0.99,std_ripser_sum_H1,std_ripser_sq_sum_H1,std_ripser_sum_H1_norm0.5,std_ripser_sq_sum_H1_norm0.5,std_ripser_sum_H1_norm0.7,std_ripser_sq_sum_H1_norm0.7,std_ripser_sum_H1_norm0.8,std_ripser_sq_sum_H1_norm0.8,std_ripser_sum_H1_norm0.9,std_ripser_sq_sum_H1_norm0.9,std_ripser_sum_H1_norm0.95,std_ripser_sq_sum_H1_norm0.95,std_ripser_sum_H1_norm0.99,std_ripser_sq_sum_H1_norm0.99,accuracy,roc_auc,sample_fraction
0,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=00.ckpt,0,30,0.38143387,28.6236,6.0681,0.0014,4.1428,1.2852,6.2958,0.6161,,1069.8007,39.1151,371.2084,13.5725,328.4584,12.0094,306.0168,11.1889,278.8058,10.194,259.2667,9.4796,225.8447,8.2575,78.8629,3.3527,27.3645,1.1633,24.2131,1.0294,22.5588,0.959,20.5528,0.8738,19.1125,0.8125,16.6487,0.7078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.584,0.5365,0.525
1,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=01.ckpt,1,30,0.40986517,31.248,5.9793,0.0011,4.1402,1.2342,7.0162,0.6607,,1263.8048,45.8145,399.4132,14.4792,360.9857,13.0862,340.6569,12.3492,314.9957,11.419,295.3988,10.7086,256.5241,9.2993,100.4243,3.9844,31.7381,1.2592,28.6846,1.1381,27.0692,1.074,25.0302,0.9931,23.4729,0.9313,20.3839,0.8087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664,0.6664,0.525
2,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=02.ckpt,2,30,0.41648296,35.0563,5.9134,0.001,4.2544,1.2308,6.459,0.6641,,1411.9071,51.0741,418.9733,15.1559,380.9493,13.7804,360.8599,13.0537,335.6004,12.1399,316.4011,11.4454,280.2835,10.1389,101.6275,4.0193,30.1572,1.1927,27.4203,1.0845,25.9743,1.0273,24.1561,0.9554,22.7742,0.9007,20.1745,0.7979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,0.6937,0.525
3,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=03.ckpt,3,30,0.42604163,37.0172,5.6373,0.001,4.3816,1.2224,7.4888,0.6715,,1514.7283,54.6268,433.0789,15.6185,396.8156,14.3107,377.4713,13.613,353.3155,12.7419,334.9197,12.0785,300.954,10.8535,111.8945,4.3351,31.992,1.2394,29.3132,1.1357,27.8842,1.0803,26.0998,1.0112,24.7409,0.9585,22.2318,0.8613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644,0.6683,0.525
4,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=04.ckpt,4,30,0.43541664,38.8658,5.715,0.0008,4.471,1.2144,7.5229,0.6802,,1575.5303,56.7914,443.6021,15.99,407.1112,14.6747,387.6249,13.9723,362.8971,13.0809,344.0557,12.4018,309.3572,11.1511,110.2074,4.2629,31.0297,1.2003,28.4772,1.1015,27.1141,1.0488,25.3844,0.9819,24.0665,0.9309,21.6394,0.837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0.6958,0.525
5,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=05.ckpt,5,30,0.43903193,40.4003,5.7526,0.0006,4.5518,1.2016,8.4453,0.6943,,1630.9446,58.7779,454.0935,16.3651,417.9331,15.062,398.6106,14.3656,374.3266,13.4904,355.3908,12.808,318.0914,11.4637,103.2722,4.0485,28.7534,1.1272,26.4637,1.0374,25.2402,0.9895,23.7025,0.9292,22.5035,0.8822,20.1417,0.7896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668,0.6766,0.525
6,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=06.ckpt,6,30,0.4390318,42.2622,6.0641,0.0007,4.5416,1.2059,8.7253,0.6884,,1689.1606,60.8855,461.4107,16.6315,426.1626,15.361,407.1686,14.6763,382.8326,13.7991,364.3395,13.1326,329.3194,11.8703,110.6128,4.2858,30.215,1.1707,27.9068,1.0813,26.663,1.0331,25.0694,0.9713,23.8584,0.9244,21.5651,0.8356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.712,0.7115,0.525
7,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=07.ckpt,7,30,0.44871333,43.2266,5.9443,0.0007,4.6171,1.2056,8.9291,0.6887,,1719.9498,61.9155,462.8148,16.6606,428.3056,15.4183,409.9962,14.7592,386.8361,13.9255,368.7454,13.2743,333.3641,12.0006,108.2245,4.2616,29.1217,1.1467,26.9503,1.0612,25.7982,1.0159,24.3409,0.9585,23.2026,0.9137,20.9763,0.826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.6765,0.525
8,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=08.ckpt,8,30,0.441299,43.753,5.7362,0.0004,4.6672,1.2019,8.8868,0.693,,1738.5604,62.6421,467.5737,16.8472,432.8489,15.596,414.1073,14.9207,390.4743,14.0692,372.1578,13.4092,336.3146,12.1178,107.437,4.1954,28.8944,1.1283,26.7486,1.0445,25.5904,0.9993,24.13,0.9423,22.9981,0.8981,20.7831,0.8116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.7207,0.525
9,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=09.ckpt,9,30,0.44540447,45.3807,5.8664,0.0005,4.7053,1.206,9.6515,0.6886,,1767.7996,63.6843,474.0306,17.0768,440.2005,15.858,421.9593,15.2009,398.609,14.3597,380.2791,13.6994,344.1802,12.399,105.091,4.1537,28.1799,1.1138,26.1688,1.0343,25.0844,0.9914,23.6963,0.9366,22.6066,0.8935,20.4606,0.8087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.7284,0.525
